consommation,previsionJ
80170,79800
80529,80100
80889,80400
81029,80550
81168,80700
81268,80750
81367,80800
81316,80800
81266,80800
81240,80850
81214,80900
81349,80950
81483,81000
81848,81550
82214,82100
82305,81800
82395,81500
82305,82050
82214,82600
81505,81250
80796,79900
80341,79350
79886,78800
79288,78650
78690,78500
78035,77400
77380,76300
76945,75900
76509,75500
76175,75100
75841,74700
75787,74700
75733,74700
75707,74850
75681,75000
76077,75850
76472,76700
77556,77950
78640,79200
79559,80250
80479,81300
81186,82350
81893,83400
81458,82600
81023,81800
79997,80650
78971,79500
77644,78200
76317,76900
75045,75750
73772,74600
72836,73800
71900,73000
71028,72150
70155,71300
70161,71550
70166,71800
70887,72500
71608,73200
71075,73100
70542,73000
70388,72500
70234,69500
69520,68650
68805,67800
67713,66950
66621,66100
66871,66750
67121,67400
66943,67300
66764,67200
66665,66500
66566,65800
65757,64950
64948,64100
64519,63750
64090,63400
63642,63000
63194,62600
63241,62700
63288,62800
63347,63100
63406,63400
64453,64350
65501,65300
66440,66350
67379,67400
69165,69050
70950,70700
72371,72250
73792,73800
75500,75400
77209,77000
78200,77950
79191,78900
79541,79150
79892,79400
80113,79700
80334,80000
80521,80150
80707,80300
80680,80250
80653,80200
80363,79950
80073,79700
79890,79450
79707,79200
79625,79150
79544,79100
79645,79250
79746,79400
79612,78800
79478,78200
79265,78800
79052,79400
78320,77950
77587,76500
77014,76100
76440,75700
75841,75650
75242,75600
74631,74450
74021,73300
73642,72850
73263,72400
73054,72200
72844,72000
72870,72000
72896,72000
73073,72250
73250,72500
73976,73150
74701,73800
76118,75350
77535,76900
78796,78100
80058,79300
80899,80150
81740,81000
81381,80400
81022,79800
80156,78850
79290,77900
78103,76750
76916,75600
75834,74400
74752,73200
73917,72600
73083,72000
72186,71000
71289,70000
71278,70450
71267,70900
72140,71800
73014,72700
72577,72200
72140,71700
71978,71350
71816,70700
71238,70050
70660,69400
69615,68500
68571,67600
68607,68100
68643,68600
68587,68600
68531,68600
68415,68050
68299,67500
67562,66750
66825,66000
66500,65700
66174,65400
65768,64900
65362,64400
65435,64700
65508,65000
65689,65550
65871,66100
66951,66850
68032,67600
68866,68750
69701,69900
71615,71600
73530,73300
75033,74750
76536,76200
78217,77850
79899,79500
81069,80750
82239,82000
82572,82200
82904,82400
83110,82450
83316,82500
83362,82450
83408,82400
83236,82100
83063,81800
82623,81450
82182,81100
81956,80750
81729,80400
81505,80200
81280,80000
81235,80150
81191,80300
81031,79900
80870,79500
80631,79950
80391,80400
79547,78900
78703,77400
77923,76850
77144,76300
76465,75850
75786,75400
75163,74450
74540,73500
74098,73250
73655,73000
73251,72600
72848,72200
72732,72100
72616,72000
72758,72350
72901,72700
73667,73550
74433,74400
76089,75850
77745,77300
78887,78300
80028,79300
80749,80000
81469,80700
81243,80100
81016,79500
80351,78750
79686,78000
78602,76750
77518,75500
76643,74650
75767,73800
75025,73100
74284,72400
73523,71750
72762,71100
72875,71500
72988,71900
73858,73100
74727,74300
74263,74000
73798,73700
73608,73150
73418,72700
72761,72000
72103,71300
70982,70250
69860,69200
69814,69550
69768,69900
69445,69600
69123,69300
68878,68550
68632,67800
67825,67200
67017,66600
66553,65850
66088,65100
65514,64750
64939,64400
64690,64100
64441,63800
64382,63950
64324,64100
64745,64400
65167,64700
65364,64950
65560,65200
66303,65950
67046,66700
67489,67350
67932,68000
68565,68550
69199,69100
69830,69900
70460,70700
71089,71200
71718,71700
72281,72050
72845,72400
73525,73200
74206,74000
74524,74100
74842,74200
74854,74450
74866,74700
74814,74400
74762,74100
74775,74150
74787,74200
74960,74750
75132,75300
75504,75000
75875,74700
75924,75550
75974,76400
74909,74600
73844,72800
72960,71900
72076,71000
71238,70150
70400,69300
69673,68750
68946,68200
68418,67650
67891,67100
67533,66900
67175,66700
66983,66350
66790,66000
66864,66450
66938,66900
67584,67700
68231,68500
69701,69950
71170,71400
72292,72400
73413,73400
74189,74300
74966,75200
74934,74950
74903,74700
74351,73950
73799,73200
72933,72450
72067,71700
71455,70850
70843,70000
70230,69250
69616,68500
69095,67900
68573,67300
68743,67650
68913,68000
69786,69150
70660,70300
70314,70300
69968,70300
69997,70000
70026,69600
69424,68800
68822,68000
67701,66950
66580,65900
66568,66450
66557,67000
66324,66800
66090,66600
65775,65750
65460,64900
64602,64050
63744,63200
63233,62750
62722,62300
62172,61800
61621,61300
61401,60950
61180,60600
60957,60350
60735,60100
61022,60500
61309,60900
61364,61050
61419,61200
61914,61650
62408,62100
62581,62300
62754,62500
63247,62900
63741,63300
64134,63750
64528,64200
65022,64700
65517,65200
66135,65700
66752,66200
67523,67000
68294,67800
68694,68200
69094,68600
69631,69200
70168,69800
70498,70150
70828,70500
71033,70700
71238,70900
71628,71800
72018,72700
72560,72500
73103,72300
73232,73000
73362,73700
72070,71750
70779,69800
69681,68800
68582,67800
67693,66950
66805,66100
66061,65450
65318,64800
65057,64500
64795,64200
64352,63550
63909,62900
63797,62900
63685,62900
63826,63350
63967,63800
64623,64900
65279,66000
66881,68000
68483,70000
70035,71300
71587,72600
72793,73600
